"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
20726,"HH%U4212comp_HHCFemale","Female","HHU4212comp_HHTotalIndividual","%",10,"ALB","Albania","23.1519",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): Female"
20772,"HH%U4212comp_HHCMale","Male","HHU4212comp_HHTotalIndividual","%",10,"ALB","Albania","23.9096",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): Male"
20797,"HH%U4212comp_HHTotalIndividual","By portable computer","","%",10,"ALB","Albania","23.5306",2022,"","Institute of Statistics","Refers to the proportion of individuals who used the Internet using a portable device. A portable device refers to a mobile phone, a tablet, a portable computer, or any other portable device (e.g. portable games consoles, watches, e-book readers)."
21318,"HH%U4212tab_HHCMale","Male","HHU4212tab_HHTotalIndividual","%",10,"ALB","Albania","14.1763",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: Male"
16457,"HH%U422l_HHTotalIndividual","Laptop computer","","%",10,"ALB","Albania","19.4395",2022,"","Institute of Statistics","Refers to the proportion of individuals who used a computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
16458,"HH%U422l_HHCMale","Male","HHU422l_HHTotalIndividual","%",10,"ALB","Albania","20.0155",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Laptop computer: Male"
16459,"HH%U422l_HHCFemale","Female","HHU422l_HHTotalIndividual","%",10,"ALB","Albania","18.8788",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Laptop computer: Female"
16466,"HH%U422t_HHTotalIndividual","Tablet","","%",10,"ALB","Albania","10.7877",2022,"","Institute of Statistics","Refers to the proportion of individuals who used a computer from any location in the last three months. A computer refers to a desktop computer, a laptop (portable) computer or a tablet (or similar handheld computer)."
16467,"HH%U422t_HHCMale","Male","HHU422t_HHTotalIndividual","%",10,"ALB","Albania","11.8675",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Tablet: Male"
16468,"HH%U422t_HHCFemale","Female","HHU422t_HHTotalIndividual","%",10,"ALB","Albania","9.73666",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Tablet: Female"
21272,"HH%U4212tab_HHCFemale","Female","HHU4212tab_HHTotalIndividual","%",10,"ALB","Albania","11.9405",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: Female"
21343,"HH%U4212tab_HHTotalIndividual","By tablet","","%",10,"ALB","Albania","13.0579",2022,"","Institute of Statistics","Refers to the proportion of individuals who used the Internet using a portable device. A portable device refers to a mobile phone, a tablet, a portable computer, or any other portable device (e.g. portable games consoles, watches, e-book readers)."
28203,"HH%U271s_HHCMale","Male","HHU271s_HHTotalIndividual","%",10,"ALB","Albania","83.6597",2022,"","Institute of Statistics","Individuals using a smart phone: Male"
28228,"HH%U271s_HHTotalIndividual","Individuals using a smart phone","","%",10,"ALB","Albania","82.56",2022,"","Institute of Statistics","Refers to the proportion of individuals using a smart telephone. An individual uses a smart telephone if he/she has a smart phone device with at least one active SIM card for personal use."
10940,"HH%U4212fw_HHC15to24","15 to 24 years","HHU4212fw_HHTotalIndividual","%",10,"ALB","Albania","0.469273",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: 15 to 24 years"
10943,"HH%U4212fw_HHC25to74","25 to 74 years","HHU4212fw_HHTotalIndividual","%",10,"ALB","Albania","1.3501",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: 25 to 74 years"
10836,"HH%U4212fd_HHCMale","Male","HHU4212fd_HHTotalIndividual","%",10,"ALB","Albania","98.5511",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Male"
10790,"HH%U4212fd_HHCFemale","Female","HHU4212fd_HHTotalIndividual","%",10,"ALB","Albania","98.6498",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Female"
11017,"HH%U4212fw_HHTotalIndividual","At least once a week but not every day","","%",10,"ALB","Albania","1.18677",2022,"","Institute of Statistics","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10992,"HH%U4212fw_HHCMale","Male","HHU4212fw_HHTotalIndividual","%",10,"ALB","Albania","1.28774",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Male"
10946,"HH%U4212fw_HHCFemale","Female","HHU4212fw_HHTotalIndividual","%",10,"ALB","Albania","1.08588",2022,"","Institute of Statistics","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Female"
9276,"HH%U4212_HHCMale","Male","i99H","%",10,"ALB","Albania","83.7135",2022,"","Institute of Statistics","Individuals using the Internet (from any location): Male"
9230,"HH%U4212_HHCFemale","Female","i99H","%",10,"ALB","Albania","81.5432",2022,"","Institute of Statistics","Individuals using the Internet (from any location): Female"
21265,"HH%U4212othpor_HHTotalIndividual","By other portable devices","","%",10,"ALB","Albania","4.1315",2022,"","Institute of Statistics","Refers to the proportion of individuals who used the Internet using a portable device. A portable device refers to a mobile phone, a tablet, a portable computer, or any other portable device (e.g. portable games consoles, watches, e-book readers)."
16766,"HH%U422d_HHC15to24","15 to 24 years","HHU422d_HHTotalIndividual","%",10,"ALB","Albania","33.2819",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Desktop computer: 15 to 24 years"
16769,"HH%U422d_HHC25to74","25 to 74 years","HHU422d_HHTotalIndividual","%",10,"ALB","Albania","14.1223",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Desktop computer: 25 to 74 years"
16790,"HH%U422t_HHC15to24","15 to 24 years","HHU422t_HHTotalIndividual","%",10,"ALB","Albania","20.4765",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Tablet: 15 to 24 years"
16793,"HH%U422t_HHC25to74","25 to 74 years","HHU422t_HHTotalIndividual","%",10,"ALB","Albania","8.96029",2022,"","Institute of Statistics","Individuals using a computer, by type of device: Tablet: 25 to 74 years"
21188,"HH%U4212othpor_HHC15to24","15 to 24 years","HHU4212othpor_HHTotalIndividual","%",10,"ALB","Albania","4.11006",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By other portable devices (e.g. games, consoles, watches): 15 to 24 years"
21191,"HH%U4212othpor_HHC25to74","25 to 74 years","HHU4212othpor_HHTotalIndividual","%",10,"ALB","Albania","4.13638",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By other portable devices (e.g. games, consoles, watches): 25 to 74 years"
21194,"HH%U4212othpor_HHCFemale","Female","HHU4212othpor_HHTotalIndividual","%",10,"ALB","Albania","4.56902",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By other portable devices (e.g. games, consoles, watches): Female"
21240,"HH%U4212othpor_HHCMale","Male","HHU4212othpor_HHTotalIndividual","%",10,"ALB","Albania","3.69364",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By other portable devices (e.g. games, consoles, watches): Male"
21266,"HH%U4212tab_HHC15to24","15 to 24 years","HHU4212tab_HHTotalIndividual","%",10,"ALB","Albania","21.2104",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: 15 to 24 years"
21269,"HH%U4212tab_HHC25to74","25 to 74 years","HHU4212tab_HHTotalIndividual","%",10,"ALB","Albania","11.2022",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: 25 to 74 years"
28139,"HH%U271s_HHC15to24","15 to 24 years","HHU271s_HHTotalIndividual","%",10,"ALB","Albania","96.5399",2022,"","Institute of Statistics","Individuals using a smart phone: 15 to 24 years"
28142,"HH%U271s_HHC25to74","25 to 74 years","HHU271s_HHTotalIndividual","%",10,"ALB","Albania","79.9233",2022,"","Institute of Statistics","Individuals using a smart phone: 25 to 74 years"
28148,"HH%U271s_HHCFemale","Female","HHU271s_HHTotalIndividual","%",10,"ALB","Albania","81.4896",2022,"","Institute of Statistics","Individuals using a smart phone: Female"
21032,"HH%U4212mobi_HHC15to24","15 to 24 years","HHU4212mobi_HHTotalIndividual","%",10,"ALB","Albania","100",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By mobile phone: 15 to 24 years"
21035,"HH%U4212mobi_HHC25to74","25 to 74 years","HHU4212mobi_HHTotalIndividual","%",10,"ALB","Albania","99.9202",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By mobile phone: 25 to 74 years"
21038,"HH%U4212mobi_HHCFemale","Female","HHU4212mobi_HHTotalIndividual","%",10,"ALB","Albania","99.9343",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By mobile phone: Female"
21084,"HH%U4212mobi_HHCMale","Male","HHU4212mobi_HHTotalIndividual","%",10,"ALB","Albania","99.9357",2022,"","Institute of Statistics","Individuals using the Internet, by type of portable device and network used to access the Internet: By mobile phone: Male"
21109,"HH%U4212mobi_HHTotalIndividual","By mobile phone","","%",10,"ALB","Albania","99.935",2022,"","Institute of Statistics","Refers to the proportion of individuals who used the Internet using a portable device. A portable device refers to a mobile phone, a tablet, a portable computer, or any other portable device (e.g. portable games consoles, watches, e-book readers)."
10784,"HH%U4212fd_HHC15to24","15 to 24 years","HHU4212fd_HHTotalIndividual","%",24,"AUT","Austria","96.4954",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: 15 to 24 years"
10787,"HH%U4212fd_HHC25to74","25 to 74 years","HHU4212fd_HHTotalIndividual","%",24,"AUT","Austria","86.0983",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: 25 to 74 years"
10862,"HH%U4212fm_HHC15to24","15 to 24 years","HHU4212fm_HHTotalIndividual","%",24,"AUT","Austria","0.228777",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: 15 to 24 years"
10865,"HH%U4212fm_HHC25to74","25 to 74 years","HHU4212fm_HHTotalIndividual","%",24,"AUT","Austria","3.85175",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: 25 to 74 years"
10836,"HH%U4212fd_HHCMale","Male","HHU4212fd_HHTotalIndividual","%",24,"AUT","Austria","88.5592",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Male"
10790,"HH%U4212fd_HHCFemale","Female","HHU4212fd_HHTotalIndividual","%",24,"AUT","Austria","86.3896",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Female"
11017,"HH%U4212fw_HHTotalIndividual","At least once a week but not every day","","%",24,"AUT","Austria","9.15193",2022,"","Statistik Austria","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10992,"HH%U4212fw_HHCMale","Male","HHU4212fw_HHTotalIndividual","%",24,"AUT","Austria","8.57491",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Male"
10946,"HH%U4212fw_HHCFemale","Female","HHU4212fw_HHTotalIndividual","%",24,"AUT","Austria","9.7313",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Female"
10940,"HH%U4212fw_HHC15to24","15 to 24 years","HHU4212fw_HHTotalIndividual","%",24,"AUT","Austria","3.27576",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: 15 to 24 years"
10943,"HH%U4212fw_HHC25to74","25 to 74 years","HHU4212fw_HHTotalIndividual","%",24,"AUT","Austria","10.05",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: 25 to 74 years"
10861,"HH%U4212fd_HHTotalIndividual","At least once a day","","%",24,"AUT","Austria","87.4766",2022,"","Statistik Austria","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10939,"HH%U4212fm_HHTotalIndividual","Less than once a week","","%",24,"AUT","Austria","3.37145",2022,"","Statistik Austria","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10914,"HH%U4212fm_HHCMale","Male","HHU4212fm_HHTotalIndividual","%",24,"AUT","Austria","2.86583",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: Male"
10868,"HH%U4212fm_HHCFemale","Female","HHU4212fm_HHTotalIndividual","%",24,"AUT","Austria","3.87916",2022,"","Statistik Austria","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: Female"
9224,"HH%U4212_HHC15to24","15 to 24 years","i99H","%",24,"AUT","Austria","100",2022,"","Statistik Austria","Individuals using the Internet (from any location): 15 to 24 years"
9227,"HH%U4212_HHC25to74","25 to 74 years","i99H","%",24,"AUT","Austria","92.7093",2022,"","Statistik Austria","Individuals using the Internet (from any location): 25 to 74 years"
9276,"HH%U4212_HHCMale","Male","i99H","%",24,"AUT","Austria","94.3753",2022,"","Statistik Austria","Individuals using the Internet (from any location): Male"
9230,"HH%U4212_HHCFemale","Female","i99H","%",24,"AUT","Austria","92.862",2022,"","Statistik Austria","Individuals using the Internet (from any location): Female"
21255,"HH%U4212othpor_HHCRuralUsers","Rural","HHU4212othpor_HHTotalIndividual","%",30,"BEL","Belgium","15.8103",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By other portable devices (e.g. games, consoles, watches): Rural"
20720,"HH%U4212comp_HHC15to24","15 to 24 years","HHU4212comp_HHTotalIndividual","%",30,"BEL","Belgium","85.593",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): 15 to 24 years"
20723,"HH%U4212comp_HHC25to74","25 to 74 years","HHU4212comp_HHTotalIndividual","%",30,"BEL","Belgium","71.8146",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): 25 to 74 years"
20726,"HH%U4212comp_HHCFemale","Female","HHU4212comp_HHTotalIndividual","%",30,"BEL","Belgium","73.9154",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): Female"
20772,"HH%U4212comp_HHCMale","Male","HHU4212comp_HHTotalIndividual","%",30,"BEL","Belgium","73.7346",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): Male"
20796,"HH%U4212comp_HHCUrbanUsers","Urban","HHU4212comp_HHTotalIndividual","%",30,"BEL","Belgium","74.2534",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): Urban"
20797,"HH%U4212comp_HHTotalIndividual","By portable computer","","%",30,"BEL","Belgium","73.8248",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Refers to the proportion of individuals who used the Internet using a portable device. A portable device refers to a mobile phone, a tablet, a portable computer, or any other portable device (e.g. portable games consoles, watches, e-book readers)."
21318,"HH%U4212tab_HHCMale","Male","HHU4212tab_HHTotalIndividual","%",30,"BEL","Belgium","40.9161",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: Male"
21333,"HH%U4212tab_HHCRuralUsers","Rural","HHU4212tab_HHTotalIndividual","%",30,"BEL","Belgium","41.5944",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: Rural"
21342,"HH%U4212tab_HHCUrbanUsers","Urban","HHU4212tab_HHTotalIndividual","%",30,"BEL","Belgium","40.3894",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: Urban"
33296,"HH%A699w_HHCRural","Rural","HHA699w_HHTotalHousehold","%",30,"BEL","Belgium","1.99788",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Household expenditure on ICT: Information and communication equipment (COICOP 08.1): Rural"
33297,"HH%A699w_HHCUrban","Urban","HHA699w_HHTotalHousehold","%",30,"BEL","Belgium","1.87249",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Household expenditure on ICT: Information and communication equipment (COICOP 08.1): Urban"
33298,"HH%A699w_HHTotalHousehold","Information and communication equipment","","%",30,"BEL","Belgium","1.88877",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Refer to the proportion of ICT household expenditure by type of goods and services."
33314,"HH%A699y_HHCRural","Rural","HHA699y_HHTotalHousehold","%",30,"BEL","Belgium","90.8624",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Household expenditure on ICT: Information and communication services (COICOP 08.3): Rural"
33315,"HH%A699y_HHCUrban","Urban","HHA699y_HHTotalHousehold","%",30,"BEL","Belgium","86.0324",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Household expenditure on ICT: Information and communication services (COICOP 08.3): Urban"
33316,"HH%A699y_HHTotalHousehold","Information and communication services","","%",30,"BEL","Belgium","86.6595",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Refer to the proportion of ICT household expenditure by type of goods and services."
33323,"HH%A699z_HHCRural","Rural","HHA699z_HHTotalHousehold","%",30,"BEL","Belgium","3.75482",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Household expenditure on ICT: Games toys and hobbies (COICOP 09.2.1): Rural"
33324,"HH%A699z_HHCUrban","Urban","HHA699z_HHTotalHousehold","%",30,"BEL","Belgium","6.01193",2022,"Source is Belgium Household Budget Survey","Statbel (Directorate General Statistics - Statistics Belgium)","Household expenditure on ICT: Games toys and hobbies (COICOP 09.2.1): Urban"
21266,"HH%U4212tab_HHC15to24","15 to 24 years","HHU4212tab_HHTotalIndividual","%",30,"BEL","Belgium","34.056",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: 15 to 24 years"
21269,"HH%U4212tab_HHC25to74","25 to 74 years","HHU4212tab_HHTotalIndividual","%",30,"BEL","Belgium","41.6604",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By tablet: 25 to 74 years"
28148,"HH%U271s_HHCFemale","Female","HHU271s_HHTotalIndividual","%",30,"BEL","Belgium","85.5956",2022,"","Statistics Belgium (Statbel)","Individuals using a smart phone: Female"
20787,"HH%U4212comp_HHCRuralUsers","Rural","HHU4212comp_HHTotalIndividual","%",30,"BEL","Belgium","71.0556",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By portable computer (laptop, notebook, netbook): Rural"
21099,"HH%U4212mobi_HHCRuralUsers","Rural","HHU4212mobi_HHTotalIndividual","%",30,"BEL","Belgium","91.1993",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet, by type of portable device and network used to access the Internet: By mobile phone: Rural"
10784,"HH%U4212fd_HHC15to24","15 to 24 years","HHU4212fd_HHTotalIndividual","%",30,"BEL","Belgium","98.7471",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: 15 to 24 years"
10787,"HH%U4212fd_HHC25to74","25 to 74 years","HHU4212fd_HHTotalIndividual","%",30,"BEL","Belgium","93.5461",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: 25 to 74 years"
10865,"HH%U4212fm_HHC25to74","25 to 74 years","HHU4212fm_HHTotalIndividual","%",30,"BEL","Belgium","1.20254",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: 25 to 74 years"
10940,"HH%U4212fw_HHC15to24","15 to 24 years","HHU4212fw_HHTotalIndividual","%",30,"BEL","Belgium","1.25287",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: 15 to 24 years"
10943,"HH%U4212fw_HHC25to74","25 to 74 years","HHU4212fw_HHTotalIndividual","%",30,"BEL","Belgium","5.25136",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: 25 to 74 years"
10836,"HH%U4212fd_HHCMale","Male","HHU4212fd_HHTotalIndividual","%",30,"BEL","Belgium","93.9367",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Male"
10790,"HH%U4212fd_HHCFemale","Female","HHU4212fd_HHTotalIndividual","%",30,"BEL","Belgium","94.6747",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Female"
10860,"HH%U4212fd_HHCUrbanUsers","Urban","HHU4212fd_HHTotalIndividual","%",30,"BEL","Belgium","94.112",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Urban"
10851,"HH%U4212fd_HHCRuralUsers","Rural","HHU4212fd_HHTotalIndividual","%",30,"BEL","Belgium","95.5511",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a day: Rural"
11017,"HH%U4212fw_HHTotalIndividual","At least once a week but not every day","","%",30,"BEL","Belgium","4.668",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10992,"HH%U4212fw_HHCMale","Male","HHU4212fw_HHTotalIndividual","%",30,"BEL","Belgium","4.81792",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Male"
10946,"HH%U4212fw_HHCFemale","Female","HHU4212fw_HHTotalIndividual","%",30,"BEL","Belgium","4.51741",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Female"
11016,"HH%U4212fw_HHCUrbanUsers","Urban","HHU4212fw_HHTotalIndividual","%",30,"BEL","Belgium","4.8519",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Urban"
11007,"HH%U4212fw_HHCRuralUsers","Rural","HHU4212fw_HHTotalIndividual","%",30,"BEL","Belgium","3.47983",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: At least once a week but not every day: Rural"
10939,"HH%U4212fm_HHTotalIndividual","Less than once a week","","%",30,"BEL","Belgium","1.02709",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Refers to the frequency of Internet use by individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network."
10914,"HH%U4212fm_HHCMale","Male","HHU4212fm_HHTotalIndividual","%",30,"BEL","Belgium","1.24535",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: Male"
10868,"HH%U4212fm_HHCFemale","Female","HHU4212fm_HHTotalIndividual","%",30,"BEL","Belgium","0.807881",2022,"","Statbel (Directorate General Statistics - Statistics Belgium)","Individuals using the Internet (from any location) in the last three months, by frequency: Less than once a week: Female"
